YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201201,59807,357082,4,1.09,"NNE","PETERSBURG",38.5137,-87.2701,3830822,8716206
201201,59808,357074,1,3.06,"ENE","GRAYS RIVER",46.3662,-123.5404,4621972,12332424
201201,59808,357074,2,2.64,"NE","GRAYS RIVER",46.3765,-123.5601,4622590,12333606
201201,59808,357074,3,1.37,"NW","GRAYS RIVER",46.3633,-123.6213,4621798,12337278
201201,59808,357074,4,2.43,"WNW","EDEN",46.3109,-123.6985,4618654,12341910
201201,59808,357074,5,1.11,"WSW","EDEN",46.2943,-123.6717,4617658,12340302
201201,59809,357075,1,.57,"W","CHICKAMAUGA",35.07,-85.26,354200,8515600
201201,59809,357076,1,1.33,"ESE","GLOVER HILL",35.06,-85.63,353600,8537800
201201,59811,357148,1,3.13,"WNW","ROBERTS",44.9104,-123.1622,4454624,1239732
201201,59811,357148,2,4.36,"WNW","KEIZER",45.0114,-123.1073,45684,1236438
201201,59811,357148,3,2.63,"ESE","CHEMAWA",44.9901,-122.948,4459406,12256880
201201,59811,357148,4,1.55,"NW","AUMSVILLE",44.8471,-122.8903,4450826,12253418
201201,59811,357148,5,3.41,"SW","TURNER",44.8111,-122.9727,4448666,12258362
201201,59811,357149,1,.96,"NNE","FRY",44.5934,-123.0249,4435604,1231494
201201,59811,357149,2,.79,"S","PIRTLE",44.5885,-123.1495,4435310,1238970
201201,59811,357149,3,4.69,"WSW","DEVER",44.6823,-123.1595,4440938,1239570
201201,59811,357149,4,1.54,"ENE","MILLERSBURG",44.6867,-123.0201,4441202,1231206
201201,59811,357150,1,.65,"WSW","SCIO",44.6965,-122.8423,4441790,12250538
201201,59811,357150,2,1.54,"WSW","SCIO",44.6954,-122.8607,4441724,12251642
201201,59811,357150,3,.71,"SE","WEST SCIO",44.7118,-122.8612,4442708,12251672
201201,59811,357150,4,1.1,"NNW","SCIO",44.7142,-122.8404,4442852,12250424
201201,59812,357083,1,0,"N","DUNMOR",37.07,-87,374200,8700
201201,59812,357083,2,0,"N","GREENVILLE",37.2,-87.18,3712000,8710800
201201,59824,357228,1,0,"N","MT STERLING",38.05,-83.95,383000,8357000
201201,59824,357229,1,2,"SSE","FRENCHBURG",37.9233,-83.616,3755398,8336960
201201,59824,357230,1,0,"N","GRASSY CREEK",37.87,-83.35,3752200,8321000
201201,59824,357232,1,0,"N","STANTON",37.85,-83.87,3751000,8352200
201201,59824,357233,1,5,"NNW","MC KEE",37.4969,-84.0349,3729814,842094
201201,59824,357234,1,3,"SW","BEATTYVILLE",37.5493,-83.7587,3732958,8345522
201201,59824,357236,1,0,"N","JACKSON",37.55,-83.38,3733000,8322800
201201,59824,357237,1,0,"N","JACKSON",37.55,-83.38,3733000,8322800
201201,59824,357240,1,3,"NE","CAMP LEWIS",37.6107,-83.1413,3736642,838478
201201,59824,357241,1,0,"N","DOTSON",37.65,-82.87,3739000,8252200
201201,59824,357242,1,2,"SW","MARTIN",37.5495,-82.7758,3732970,8246548
201201,59824,357243,1,1,"E","EMMA",37.63,-82.7017,3737800,8242102
201201,59824,367563,1,.69,"N","RAVENNA",37.69,-83.95,3741400,8357000
201201,59824,367564,1,.88,"SE","BARNES MOUNTAIN",37.62,-83.91,3737200,8354600
201201,59824,367566,1,.88,"NW","RICE STATION",37.71,-84.06,3742600,843600
201201,59865,357431,1,2.95,"SSE","HAWAIIAN BEACHES",19.5137,-154.8962,1930822,15453772
201201,59865,357431,2,2.34,"W","KALAPANA",19.3463,-155.0157,1920778,155942
201201,59865,357432,1,1.44,"S","HAWAIIAN BEACHES",19.5293,-154.9182,1931758,15455092
201201,59865,357432,2,3.34,"SSE","VOLCANO",19.3739,-155.2148,1922434,15512888
201201,59865,357433,1,3.22,"ENE","VOLCANO",19.4309,-155.1819,1925854,15510914
201201,59865,357433,2,2.7,"WNW","NAALEHU",19.0782,-155.6104,194692,15536624
201201,59865,357434,1,.63,"SSE","PRINCEVILLE",22.2116,-159.4762,2212696,15928572
201201,59865,357434,2,.71,"SSE","PRINCEVILLE",22.2103,-159.4765,2212618,15928590
201201,59865,357434,3,.71,"SSE","PRINCEVILLE",22.2107,-159.4754,2212642,15928524
201201,59865,357434,4,.66,"SSE","PRINCEVILLE",22.2114,-159.4755,2212684,15928530
201201,59865,357435,1,1.58,"N","KAPAA",22.1028,-159.3205,226168,15919230
201201,59865,357435,2,1.44,"NNE","KAPAA",22.099,-159.3107,225940,15918642
201201,59865,357435,3,1.32,"NNE","KAPAA",22.0974,-159.3115,225844,15918690
201201,59865,357435,4,1.52,"N","KAPAA",22.102,-159.3221,226120,15919326
201201,59871,357489,1,2.07,"S","NEW SIGHT",31.62,-90.45,3137200,9027000
201201,59871,357491,1,.91,"SE","ROCKPORT",31.79,-90.16,3147400,909600
201201,59871,357492,1,3.59,"E","STRONGHOPE",31.74,-90.22,3144400,9013200
201201,59871,357492,2,2,"SW","ROCKPORT",31.7769,-90.1905,3146614,9011430
201201,59871,357493,1,1.42,"W","MAYBANK",31.4223,-89.404,3125338,8924240
201201,59871,357493,2,3.8,"NNW","MACEDONIA",31.4264,-89.2145,3125584,8912870
201201,59871,357493,3,1.25,"N","MC CALLUM",31.2481,-89.2193,3114886,8913158
201201,59871,357493,4,4.67,"W","BONHOMIE",31.2716,-89.3985,3116296,8923910
201201,59871,357494,1,.85,"NNE","(LUL)HESLER FLD LAUR",31.6821,-89.1671,3140926,8910026
201201,59871,357494,2,2.02,"SE","LAUREL",31.6809,-89.1039,3140854,896234
201201,59871,357494,3,1.76,"WSW","ERRATA",31.758,-89.0964,3145480,895784
201201,59871,357494,4,1.08,"WNW","HOY",31.758,-89.1657,3145480,899942
201202,59873,357719,1,0,"N","OZARK",31.44,-85.64,3126400,8538400
201202,59873,357721,1,.72,"SSW","GENEVA MUNICIPAL ARPT",31.041,-85.866,312460,8551960
201202,59873,357722,1,0,"N","OZARK",31.44,-85.64,3126400,8538400
201202,59873,357723,1,0,"N","DOTHAN",31.22,-85.39,3113200,8523400
201202,59874,357743,1,2.25,"SE","SCHLEY",31.21,-83.79,3112600,8347400
201202,59874,357744,1,0,"N","WAGON WHEEL",31.23,-83.46,3113800,8327600
201202,59874,357745,1,2.16,"NNW","MASSEE",31.22,-83.36,3113200,8321600
201202,59874,357746,1,1.5,"NNW","COTTLE",31.22,-83.32,3113200,8319200
201202,59874,357747,1,.07,"N","WEST BAINBRIDGE",30.911,-84.58,3054660,8434800
201202,59874,357748,1,2.6,"SE","DRAKES STILL",30.784,-84.8684,3047040,8452104
201202,59874,357749,1,.93,"W","I-75 AT EXIT 5",30.6824,-83.2355,3040944,8314130
201202,59874,357751,1,0,"N","TIFTON",31.45,-83.5,3127000,8330000
201202,59874,357752,1,3.55,"N","LOCKETT CROSSING",31.6012,-84.245,3136072,8414700
201202,59874,357753,1,1.56,"NW","ELPINO",31.0074,-84.2468,31444,8414808
201202,59874,357754,1,2.25,"NNW","BERLIN",31.1017,-83.6189,316102,8337134
201202,59874,357756,1,4.21,"NW","ALBANY",31.6136,-84.2198,3136816,8413188
201202,59874,357756,2,.95,"N","TURNER CITY",31.6037,-84.0983,3136222,845898
201202,59874,357756,3,1.89,"SE","EAST ALBANY",31.5493,-84.099,3132958,845940
201202,59874,357756,4,1.56,"E","LOCKETT CROSSING",31.5525,-84.2236,3133150,8413416
201202,59874,358092,1,3.44,"SE","LUKE",31.3,-84.9435,3118000,8456610
201202,59874,358092,2,1.37,"WNW","CUBA",31.3,-84.87,3118000,8452200
201202,59874,358093,1,0,"N","COLQUITT",31.17,-84.73,3110200,8443800
201202,59874,358098,1,6,"SW","HOGGARD MILL",31.14,-84.53,318400,8431800
201202,59874,358107,1,1.5,"SSW","CRESTVIEW",31.31,-84.62,3118600,8437200
201202,59874,358107,2,0,"N","NEWTON",31.31,-84.33,3118600,8419800
201202,59874,358110,1,6.85,"WSW","HOPEFUL",31.11,-84.49,316600,8429400
201202,59874,358117,1,0,"N","ADEL",31.13,-83.42,317800,8325200
201202,59874,358118,1,0,"N","NASHVILLE",31.2,-83.25,3112000,8315000
201202,59874,358118,2,4.36,"ESE","WEBER",31.21,-83.06,3112600,833600
201202,59874,358119,1,10,"W","MOULTRIE",31.17,-83.9492,3110200,8356952
201202,59874,358119,2,0,"N","MOULTRIE",31.17,-83.78,3110200,8346800
201202,59874,358120,1,0,"N","WHIGHAM",30.88,-84.32,3052800,8419200
201202,59874,358120,2,0,"N","CAIRO",30.87,-84.2,3052200,8412000
201202,59874,358121,1,4.1,"WNW","PARKERVILLE",31.46,-83.99,3127600,8359400
201202,59874,358122,1,0,"N","SYLVESTER",31.53,-83.83,3131800,8349800
201202,59874,358123,1,0,"N","SUMNER",31.5,-83.74,3130000,8344400
201202,59874,358124,1,2.39,"NNW","QUALITY",31.07,-84.09,314200,845400
201202,59874,358125,1,0,"N","CAMILLA",31.23,-84.21,3113800,8412600
201202,59874,358126,1,17,"W","PELHAM",31.12,-84.4374,317200,8426244
201202,59874,358126,2,0,"N","PELHAM",31.12,-84.15,317200,849000
201202,59874,358127,1,3.88,"SSW","(ABY)SOUTHWEST GA RGNL ARPT",31.48,-84.22,3128800,8413200
201202,59874,358128,1,2.38,"SSW","(ABY)SOUTHWEST GA RGNL ARPT",31.5,-84.21,3130000,8412600
201202,59874,358129,1,0,"N","ALBANY",31.57,-84.17,3134200,8410200
201202,59874,358130,1,2.07,"N","BETHANY",30.88,-84.73,3052800,8443800
201202,59874,358131,1,0,"N","BAINBRIDGE",30.9,-84.57,3054000,8434200
201201,60529,362772,1,.08,"W","GRAND MARAIS LIGHT",46.6799,-85.9717,4640794,8558302
201203,60530,361284,1,.88,"NE","FERDINAND",38.23,-86.86,3813800,8651600
201203,60530,361285,1,0,"N","DUBOIS",38.45,-86.8,3827000,8648000
201203,60530,361286,1,3.5,"N","ELON",38.47,-86.66,3828200,8639600
201203,60530,361287,1,0,"N","HENRYVILLE",38.53,-85.77,3831800,8546200
201203,60531,361288,1,0,"N","HARDINSBURG ARPT",37.78,-86.45,3746800,8627000
201203,60531,361289,1,0,"N","ELIZABETH TOWN",37.7,-85.87,3742000,8552200
201203,60531,361290,1,.88,"NE","GATTON",37.48,-85.62,3728800,8537200
201203,60531,361291,1,.69,"N","WILLISBURG",37.81,-85.12,3748600,857200
201203,60531,361292,1,.69,"N","FRANKLIN",36.73,-86.57,3643800,8634200
201203,60531,361293,1,1.49,"SSE","SINAI",37.93,-85.02,3755800,851200
201203,60531,361294,1,0,"N","MIDWAY",38.15,-84.68,389000,8440800
201206,63337,379208,1,1.23,"E","BUCHANAN",27.4,-81.78,2724000,8146800
201206,63337,379208,2,3.7,"NW","TORREY",27.63,-81.88,2737800,8152800
201206,63337,379209,1,2.07,"S","VENUS",27.04,-81.36,272400,8121600
201206,63337,379209,2,.66,"SSE","HICORIA",27.1413,-81.3455,278478,8120730
201206,63337,379585,1,2.82,"WNW","PLACID LAKES",27.27,-81.44,2716200,8126400
201206,63337,379585,2,4.47,"NW","LAKE PLACID",27.3452,-81.4222,2720712,8125332
201206,63337,380272,1,1.4,"ESE","WNTR HVN CYP GDNS AR",27.96,-81.68,2757600,8140800
201206,63337,380272,2,1.83,"E","WNTR HVN CYP GDNS AR",27.97,-81.67,2758200,8140200
201206,63337,380273,1,1.84,"SE","WNTR HVN CYP GDNS AR",27.95,-81.68,2757000,8140800
201206,63337,380273,2,2.44,"E","WINTER HAVEN",28.04,-81.68,282400,8140800
201206,63337,380274,1,.69,"S","SAINT PETERSBURG BEACH",27.7,-82.74,2742000,8244400
201206,63337,380274,2,.92,"SW","GULFPORT",27.74,-82.72,2744400,8243200
201206,63337,380275,1,6.1,"E","CHASSAHOWITZKA",28.7,-82.47,2842000,8228200
201206,63337,380275,2,5.83,"ESE","HOMOSASSA SPRINGS",28.77,-82.45,2846200,8227000
201206,63337,380485,1,4.96,"ENE","BRIGHTON",27.2714,-81.023,2716284,811380
201206,63337,380485,2,5.89,"ENE","BRIGHTON",27.2841,-81.0122,2717046,81732
201206,63337,380487,1,.93,"SSE","NEW PORT RICHEY",28.2372,-82.715,2814232,8242900
201206,63337,380487,2,.74,"SE","NEW PORT RICHEY",28.2419,-82.7121,2814514,8242726
201206,63337,380488,1,1.55,"SSE","INDIAN ROCKS BEACH",27.8783,-82.8437,2752698,8250622
201206,63337,380488,2,1.12,"SE","INDIAN ROCKS BEACH",27.8878,-82.8379,2753268,8250274
201206,63337,380489,1,4.8,"S","LUTZ TAMPA DOWNS ARP",28.1506,-82.3747,289036,8222482
201206,63337,380489,2,3.75,"S","LUTZ TAMPA DOWNS ARP",28.1659,-82.3762,289954,8222572
201206,63337,394649,1,3.75,"W","ST CATHERINE",28.6258,-82.1915,2837548,8211490
201206,63337,394649,2,1.2,"NNE","WEBSTER",28.6244,-82.039,2837464,822340
201206,63337,394649,3,.48,"ENE","THE VILLAGES",28.9434,-81.9731,2856604,8158386
201206,63337,394649,4,4.98,"W","OXFORD",28.9387,-82.1118,2856322,826708
201206,63337,394650,1,.62,"W","WARM MINERAL SPRINGS",27.05,-82.28,273000,8216800
201206,63337,394654,1,.51,"WSW","SARASOTA",27.3362,-82.5371,2720172,8232226
201206,63337,395002,1,5.83,"WNW","RINGGOLD",28.6843,-82.5379,2841058,8232274
201206,63337,395002,2,2.6,"NNW","RINGGOLD",28.6828,-82.4709,2840968,8228254
201206,63337,395002,3,.87,"SW","BROOKSVILLE",28.54,-82.3988,2832400,8223928
201206,63337,395002,4,2.23,"ENE","WEEKI WACHEE",28.5327,-82.5362,2831962,8232172
201206,63337,395006,1,1.22,"E","GULFPORT",27.75,-82.69,2745000,8241400
201206,63337,395017,1,0,"N","INDIAN ROCKS BEACH",27.9,-82.85,2754000,8251000
201206,63337,395031,1,1.99,"NE","BELLEAIR",27.9609,-82.7876,2757654,8247256
201206,63337,395039,1,2.3,"SE","NOWATNEY",28.0543,-82.426,283258,8225560
201206,63337,395047,1,0,"N","NEW PORT RICHEY",28.25,-82.72,2815000,8243200
201206,63337,395049,1,1.22,"E","NEW PORT RICHEY",28.25,-82.7,2815000,8242000
201206,63337,395061,1,.69,"N","SAINT PETERSBURG BEACH",27.72,-82.74,2743200,8244400
201206,63337,395064,1,1.97,"ENE","BEE RIDGE",27.29,-82.44,2717400,8226400
201206,63337,395076,1,0,"N","GOLDEN BEACH",27.07,-82.45,274200,8227000
201206,63337,395426,1,1.02,"W","ELOISE",27.9982,-81.7466,2759892,8144796
201206,63337,395463,1,.67,"NNW","NEW PORT RICHEY",28.2591,-82.7236,2815546,8243416
201206,63337,395463,2,2.74,"SE","JASMINE ESTATES",28.2573,-82.6745,2815438,8240470
201206,63337,395463,3,2.27,"W","NEW PORT RW PASCO AR",28.1756,-82.667,2810536,8240020
201206,63337,395463,4,1.54,"SW","HOLIDAY",28.175,-82.7586,2810500,8245516
201206,63337,395473,1,3.75,"WNW","WARM MINERAL SPRINGS",27.0634,-82.329,273804,8219740
201206,63337,395473,2,2.04,"NNW","WARM MINERAL SPRINGS",27.0784,-82.279,274704,8216740
201206,63337,395473,3,1.97,"SSE","WARM MINERAL SPRINGS",27.024,-82.257,271440,8215420
201206,63337,395473,4,2.82,"NNE","MANASOTA",27.0182,-82.3041,271092,8218246
201206,63337,402449,1,.86,"W","SAINT PETERSBURG-CLEARWATER INTL AIRPORT",27.9086,-82.7041,2754516,8242246
201204,63344,379283,1,1.5,"SW","SAN JUAN",26.1663,-98.1888,269978,9811328
201204,63344,379307,1,4.19,"NNE","PORT ISABEL",26.1246,-97.1706,267476,9710236
201204,63344,379307,2,2.09,"ENE","PORT ISABEL",26.0783,-97.1676,264698,9710056
201204,63344,380169,1,2.51,"NNE","SARITA",27.2504,-97.7776,2715024,9746656
201204,63344,380169,2,3.03,"NNE","SARITA",27.2608,-97.7819,2715648,9746914
201204,63344,380170,1,.69,"S","BAYVIEW",26.12,-97.4,267200,9724000
201205,63345,379268,1,.9,"NW","WINNSBORO",32.96,-95.29,3257600,9517400
201205,63345,379269,1,0,"N","PITTSBURG",33,-94.97,3300,9458200
201205,63346,379270,1,0,"N","SAGINAW BAY LIGHT",43.81,-83.72,4348600,8343200
201205,63346,379271,1,0,"N","GRAVELLY SHOALS LIGHT",44.02,-83.54,441200,8332400
201205,63346,379274,1,0,"N","SAGINAW BAY LIGHT",43.81,-83.72,4348600,8343200
201205,63347,379272,1,1.5,"NNE","JACKSONVILLE",31.97,-95.26,3158200,9515600
201205,63348,379279,1,0,"N","SAGINAW BAY LIGHT",43.81,-83.72,4348600,8343200
201205,63348,379280,1,0,"N","GRAVELLY SHOALS LIGHT",44.02,-83.54,441200,8332400
201205,63349,379281,1,.91,"SE","MONTGOMERY",31.66,-92.89,3139600,9253400
201205,63349,379282,1,0,"N","DRY PRONG",31.58,-92.53,3134800,9231800
201205,63349,379284,1,.69,"N","JENA",31.69,-92.13,3141400,927800
201205,63350,379311,1,2.89,"NW","BUENA VISTA",43.43,-83.86,4325800,8351600
201205,63350,379313,1,2.04,"NW","MERSHON",43.47,-83.98,4328200,8358800
201205,63350,379314,1,1.5,"E","ARTHUR",43.45,-83.75,4327000,8345000
201205,63350,379315,1,0,"N","CHESANING",43.18,-84.12,4310800,847200
201205,63350,379316,1,2.04,"SE","ARTHUR",43.43,-83.75,4325800,8345000
201205,63350,379317,1,1.38,"N","JUNIATA",43.37,-83.47,4322200,8328200
201205,63350,379318,1,1.5,"W","MERSHON",43.45,-83.98,4327000,8358800
201204,63352,379320,1,2.76,"S","ZAPATA",26.86,-99.23,2651600,9913800
201204,63352,379323,1,3.67,"NNW","LOPENO",26.77,-99.12,2646200,997200
201204,63352,379324,1,0,"N","ROMA ARPT",26.58,-99.13,2634800,997800
201204,63352,379325,1,0,"N","ROMA ARPT",26.58,-99.13,2634800,997800
201206,63353,379321,1,2.93,"E","MANSFIELD",32.03,-93.67,321800,9340200
201206,63354,379326,1,0,"N","CHIRENO",31.5,-94.35,3130000,9421000
201206,63354,379327,1,0,"N","CHIRENO",31.5,-94.35,3130000,9421000
201206,63354,379328,1,.69,"N","BROADDUS",31.31,-94.27,3118600,9416200
201206,63354,379329,1,3,"NNE","MT SELMAN",32.11,-95.26,326600,9515600
201206,63354,379330,1,1.36,"ENE","MT SELMAN",32.08,-95.26,324800,9515600
201206,63354,379331,1,.91,"NE","BULLARD",32.14,-95.32,328400,9519200
201206,63354,379332,1,1.38,"S","TYLER",32.33,-95.3,3219800,9518000
201206,63354,379333,1,1.38,"S","TYLER",32.33,-95.3,3219800,9518000
201206,63355,379341,1,.86,"NE","PITTSTON",41.33,-75.79,4119800,7547400
201206,63355,379342,1,.86,"NE","HOP BOTTOM",41.71,-75.77,4142600,7546200
201206,63355,379343,1,1.38,"S","KINGSLEY",41.75,-75.77,4145000,7546200
201206,63355,379344,1,1.69,"ESE","WEST LENOX",41.71,-75.67,4142600,7540200
201206,63355,379345,1,.69,"N","PLAINS",41.29,-75.87,4117400,7552200
201206,63355,379346,1,0,"N","ROYAL",41.67,-75.63,4140200,7537800
201206,63355,379347,1,.52,"E","WEST CLIFFORD",41.68,-75.62,4140800,7537200
201206,63355,379348,1,.86,"SW","BETHANY",41.61,-75.29,4136600,7517400
201206,63355,379349,1,0,"N","DINGMANS FERRY",41.22,-74.88,4113200,7452800
201206,63355,379350,1,4.32,"SE","MILLRIFT",41.37,-74.7,4122200,7442000
201206,63356,379354,1,1.38,"S","HARTMAN",33.36,-94.17,3321600,9410200
